3745908.417020131,13233518.767870117
3745908.5793318427,13233535.391543131
3745907.454340041,13233550.929484863
3745928.381117669,13233554.289775152
3745945.380282984,13233555.41835984
3745958.465275149,13233555.429447893
3745980.726613322,13233557.7068366
3746074.900041162,13233565.616450507
3746140.278060664,13233564.648573343
3746155.951993588,13233564.66201586
3746175.5621738127,13233564.67884726
3746203.009763601,13233564.732540797
3746251.36658158,13233563.720190194
3746267.0761407497,13233563.733717835
3746306.2973122257,13233563.797627535
3746324.601084595,13233567.155929988
3746323.2116145077,13233554.989054576
3746318.960035628,13233522.793099493
3746316.123654737,13233501.739565209
3746313.3233967037,13233477.311944969
3746310.595935327,13233465.141713237
3746279.155563605,13233239.832620371
3746277.847487216,13233228.742349025
3746276.4848924316,13233215.421796089
3746276.4122707685,13233195.441942103
3746281.54111121,13233148.793315414
3746285.4082545387,13233127.698738042
3746302.3263189485,13233069.990427071
3746307.571483331,13233055.555529406
3746321.9634953667,13233011.101234782
3746361.427354095,13232890.042557715
3746385.224978375,13232820.063668856
3746387.8501450876,13232813.370006943
3746390.5357425828,13232804.504584957
3746423.759120109,13232709.993000124
3746455.753822626,13232624.361284424
3746458.484992184,13232613.258949982
3746477.215034515,13232565.412983516
3746486.620444684,13232539.828030815
3746536.476937016,13232409.618121905
3746552.686677584,13232368.419720573
3746575.6863440378,13232312.758684494
3746587.8900387525,13232283.808615921
3746597.4407337992,13232258.17645649
3746598.827831319,13232251.472840123
3746598.900934886,13232248.150659773
3746600.399418883,13232235.859422404
3746603.3620304987,13232214.719194965
3746607.644229203,13232191.283362444
3746618.646502183,13232160.088463373
3746624.1297757365,13232146.740753153
3746630.9333369522,13232130.010161076
3746637.7751770634,13232113.309150014
3746658.276849089,13232065.377646323
